#cell_viability_marker : marker used to detect cell viability in flow cytometery,,,,,,,,,,,
#MOI : (viral_integration/cell) multiplicity of infection of lentivirus transfected into donor T-cells to create CART effectors,,,,,,,,,,,
#standard_cell_concentration : (cells/mL) concentration of cells from serially-diluted non-transduced donor cells counted with Vi-CELL,,,,,,,,,,,
#id_effector : CAR pCDL plasmid id expressed by effector cells,,,,,,,,,,,
plate_id,well_num,well_id,well_id_0,row,column,isEmpty,replicate_id,cell_viability_marker,MOI,standard_cell_concentration,id_effector
2020122 MOI=1 cell count,1,A1,A01,A,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6194
2020122 MOI=1 cell count,2,A2,A02,A,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6195
2020122 MOI=1 cell count,3,A3,A03,A,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6196
2020122 MOI=1 cell count,4,A4,A04,A,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6197
2020122 MOI=1 cell count,5,A5,A05,A,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6198
2020122 MOI=1 cell count,6,A6,A06,A,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6199
2020122 MOI=1 cell count,7,A7,A07,A,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6200
2020122 MOI=1 cell count,8,A8,A08,A,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6201
2020122 MOI=1 cell count,9,A9,A09,A,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6202
2020122 MOI=1 cell count,10,A10,A10,A,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6203
2020122 MOI=1 cell count,11,A11,A11,A,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,4000000,NTD
2020122 MOI=1 cell count,12,A12,A12,A,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,4000000,NTD
2020122 MOI=1 cell count,13,B1,B01,B,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6204
2020122 MOI=1 cell count,14,B2,B02,B,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6205
2020122 MOI=1 cell count,15,B3,B03,B,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6206
